timestamp,src_mac,dst_mac,in_port,out_port,packet_count,byte_count
1784202803.7683034,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,22,1176
1784202803.8192198,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,22,1188
1784202803.821558,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,23,1230
1784202803.8758872,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,23,1242
1784202803.8776703,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,24,1284
1784202803.9222693,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,24,1296
1784202803.9242258,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,25,1338
1784202803.9740927,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,25,1350
1784202803.9755425,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,26,1392
1784202804.0352519,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,26,1404
1784202804.0379572,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,27,1446
1784202804.0871606,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,27,1458
1784202804.0897114,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,28,1500
1784202804.1386888,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,28,1512
1784202804.140597,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,29,1554
1784202804.1940603,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,29,1566
1784202804.1954625,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,30,1608
1784202804.2506316,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,30,1620
1784202804.2523625,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,31,1662
1784202804.3297484,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,31,1674
1784202804.3311844,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,32,1716
1784202804.3656929,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,32,1728
1784202804.3666215,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,33,1770
1784202804.4135346,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,33,1782
1784202804.415041,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,34,1824
1784202804.461507,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,34,1836
1784202804.4631193,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,35,1878
1784202804.5309703,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,35,1890
1784202804.533584,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,36,1932
1784202804.5747843,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,36,1944
1784202804.5765634,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,37,1986
1784202804.6334922,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,37,1998
1784202804.6345575,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,38,2040
1784202804.7016773,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,38,2052
1784202804.702703,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,39,2094
1784202804.7732244,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,39,2106
1784202804.774708,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,40,2148
1784202804.8295662,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,40,2160
1784202804.8314269,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,41,2202
1784202804.885726,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,41,2214
1784202804.887333,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,42,2256
1784202804.9420576,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,42,2268
1784202804.9431155,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,43,2310
1784202804.9990952,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,43,2322
1784202805.0007372,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,44,2364
1784202805.0430725,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,44,2376
1784202805.0452523,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,45,2418
1784202805.0917845,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,45,2430
1784202805.0932374,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,46,2472
1784202805.1391091,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,46,2484
1784202805.1406686,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,47,2526
1784202805.1920738,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,47,2538
1784202805.1938014,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,48,2580
1784202805.2466471,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,48,2592
1784202805.2485306,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,49,2634
1784202805.298566,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,49,2646
1784202805.3001916,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,50,2688
1784202805.354984,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,50,2700
