timestamp,src_mac,dst_mac,in_port,out_port,packet_count,byte_count
1783797694.5076594,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,86,4632
1783797694.5617537,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,86,4644
1783797694.5637994,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,87,4686
1783797694.6298943,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,87,4698
1783797694.6324751,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,88,4740
1783797694.6684694,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,89,4782
1783797694.6709428,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,88,4740
1783797694.6984553,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,89,4794
1783797694.7011378,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,90,4836
1783797694.7660267,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,90,4848
1783797694.7678628,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,91,4890
1783797694.8098571,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,91,4902
1783797694.81201,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,92,4944
1783797694.8496048,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,92,4956
1783797694.8515136,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,93,4998
1783797694.8979223,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,93,5010
1783797694.9003778,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,94,5052
1783797694.9584641,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,94,5064
1783797694.9610674,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,95,5106
1783797695.0139356,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,95,5118
1783797695.0160666,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,96,5160
1783797695.0832887,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,96,5172
1783797695.0855756,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,97,5214
1783797695.1415892,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,97,5226
1783797695.1435213,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,98,5268
1783797695.200304,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,98,5280
1783797695.2024367,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,99,5322
1783797695.2499485,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,99,5334
1783797695.2525797,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,100,5376
1783797697.9064126,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,100,5388
